Status,Name,Ort,Webseite,Akteurstyp,Type of actor,Experimentierbereich,Area of experimentation,Gründung,Schließung
Aktiv,DW Innovation,Bonn,https://innovation.dw.com/en/articles,Innovationseinheit,Innovation Unit,"Technologie, Produkt","Technology, Product",1997,
Aktiv,Edition F,Berlin,https://editionf.com,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2014,
Inaktiv,Editorial Insights Engine,Hamburg,,Projekt,Project,Technologie,Technology,2019,2020
Inaktiv,Electric Elephant Publishing,Hamburg,,Start-up,Startup,Produkt,Product,2016,2024
Inaktiv,EventSpace,München,,Projekt,Project,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2018,2018
Inaktiv,F.A.Z. Personalisation,Frankfurt (Main),,Projekt,Project,Technologie,Technology,2019,2020
Aktiv,FactFox,München,https://www.factfox.io/,Start-up,Startup,Technologie,Technology,2018,
Aktiv,Flip,Hamburg,https://letsflip.de/,Start-up,Startup,"Produkt, Technologie","Product, Technology",2020,
Aktiv,Follow the Grant,Berlin,https://www.followthegrant.org/,Projekt,Project,"Produkt, Technologie","Product, Technology",2018,
Aktiv,forum.eu,Utting,https://forum.eu,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2015,
Aktiv,Frisbii Media,München,https://www.plenigo.com,Start-up,Startup,Technologie,Technology,2013,
Aktiv,funk,Stuttgart,https://www.funk.net/,Spin-off,Spin-off,"Arbeitsweisen, Produkt","Organizational Structure, Product",2016,
Aktiv,Good News Magazin,Berlin,https://goodnews-magazin.de/,Start-up,Startup,Produkt,Product,2016,
Aktiv,Greenhouse Innovation Lab,Hamburg,https://www.missionme.de/,Innovationseinheit,Innovation Unit,"Produkt, Technologie, Finanzierungsform","Product, Technology, Form of funding",2015,
Inaktiv,Helloguide,Hamburg,,Start-up,Startup,"Technologie, Produkt","Technology, Product",2017,2022
Inaktiv,HHLab,Hamburg,,Innovationseinheit,Innovation Unit,"Technologie, Produkt","Technology, Product",2018,2022
Aktiv,Hostwriter,Berlin,https://hostwriter.org/,Start-up,Startup,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2013,
Inaktiv,Huffpost Deutschland,München,,Start-up,Startup,Produkt,Product,2013,2019
Aktiv,hyScore,Berlin,https://www.hyscore.io,Start-up,Startup,Technologie,Technology,2017,
Inaktiv,Identifying & Monetising Evergreen Content,Münster,,Projekt,Project,"Technologie, Produkt","Technology, Product",2018,2020
Aktiv,InnoLab der HMS,Hamburg,https://www.hamburgmediaschool.com/forschung-labs/,Innovationseinheit,Innovation Unit,"Technologie, Finanzierungsform","Technology, Form of funding",2003,
Aktiv,Institut für Digitale Resilienz,Hamburg,https://digitale-resilienz.org/,Spin-off,Spin-off,Produkt,Product,2021,
Aktiv,Ippen Digital,München,https://ippen-digital.de,Innovationseinheit,Innovation Unit,Technologie,Technology,2006,
Aktiv,Jetzt,München,https://www.jetzt.de/,Spin-off,Spin-off,Produkt,Product,2016,
Inaktiv,Jornu,München,,Projekt,Project,"Publikumsbeziehung, Technologie","Audience Relationship, Technology",2016,2016
Inaktiv,Journalism of Things Conference,Stuttgart,,Start-up,Startup,Publikumsbeziehung,Audience Relationship,2019,2019
Aktiv,Journalismuslab NRW,Düsseldorf,https://www.journalismuslab.de/,Accelerator,Accelerator,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2015,
Aktiv,KARAKAYA TALKS,Berlin,https://www.karakayatalks.com/,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2019,
Inaktiv,Kerngedanke,München,,Start-up,Startup,Technologie,Technology,2018,2019
Aktiv,Kompreno,Frankfurt (Main),https://kompreno.eu,Start-up,Startup,Produkt,Product,2022,
Aktiv,Kr3m,Karlsruhe,https://kr3m.com,Start-up,Startup,Technologie,Technology,1999,
Aktiv,Krautreporter,Berlin,https://krautreporter.de,Start-up,Startup,"Produkt, Finanzierungsform, Publikumsbeziehung","Product, Form of funding, Audience Relationship",2014,
Aktiv,Labiotech.eu,Berlin,https://labiotech.eu,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2012,
Inaktiv,LIMES,Hamburg,,Projekt,Project,Technologie,Technology,2018,2020
Inaktiv,Linius,Berlin,,Projekt,Project,"Technologie, Produkt","Technology, Product",2015,2017
Inaktiv,LinkLift,Berlin,,Start-up,Startup,Technologie,Technology,2006,2007
Aktiv,Lokalpioniere,Bielefeld,https://www.lokalpioniere.de/,Start-up,Startup,"Publikumsbeziehung, Finanzierungsform, Technologie","Audience Relationship, Form of funding, Technology",2015,
Aktiv,loky*,Berlin,https://www.prenzlauerberg-nachrichten.de/,Start-up,Startup,Produkt,Product,2010,
Aktiv,Luminovo,München,https://luminovo.ai/,Start-up,Startup,Technologie,Technology,2017,
Inaktiv,Mashtag,Saarbrücken,,Start-up,Startup,Technologie,Technology,2016,2021
Aktiv,MDR next,Leipzig,https://www.mdr.de/next/index.html,Innovationseinheit,Innovation Unit,"Produkt, Technologie","Product, Technology",2019,
Aktiv,Media Lab Bayern,München,https://www.media-lab.de/,Accelerator,Accelerator,"Finanzierungsform, Arbeitsweisen","Form of funding, Organizational Structure",1995,
Aktiv,Media Lift,Hamburg,https://www.nextmedia-hamburg.de/,Accelerator,Accelerator,"Finanzierungsform, Arbeitsweisen","Form of funding, Organizational Structure",2014,
Aktiv,Media Tech Hub,Potsdam,https://www.mth-potsdam.de/en/frontpage/,Accelerator,Accelerator,"Finanzierungsform, Arbeitsweisen","Form of funding, Organizational Structure",2017,
Aktiv,MediaLab.NRW,Bochum,https://medialab.nrw/,Accelerator,Accelerator,"Produkt, Technologie","Product, Technology",2016,
Aktiv,MedWatch,Hamburg,https://medwatch.de,Start-up,Startup,Produkt,Product,2017,
Aktiv,Merkurist,Mainz,https://merkurist.de,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2014,
Aktiv,MIT KIDZ,Bochum,https://mit-kidz.de,Projekt,Project,Produkt,Product,2019,
Aktiv,MIZ Babelsberg,Postdam,https://www.miz-babelsberg.de/,Accelerator,Accelerator,"Publikumsbeziehung, Produkt, Technologie","Audience Relationship, Product, Technology",2011,
Aktiv,Moviepilot,Berlin,https://www.moviepilot.de/,Start-up,Startup,Produkt,Product,2007,
Aktiv,MUCBOOK,München,https://www.mucbook.de/,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2009,
Inaktiv,Multicast Media,Potsdam,,Start-up,Startup,Produkt,Product,2017,2018
Aktiv,My Country Talks,Hamburg,https://www.mycountrytalks.org,Projekt,Project,"Produkt, Publikumsbeziehung, Arbeitsweisen","Product, Audience Relationship, Organizational Structure",2017,
Aktiv,Narando,Löhne,https://www.narando.com/,Start-up,Startup,Technologie,Technology,2015,
Aktiv,NDR NextNewsLab,Hamburg,https://www.ndr.de/,Innovationseinheit,Innovation Unit,Technologie,Technology,2016,
Aktiv,Nebenan.de,Berlin,https://nebenan.de,Start-up,Startup,"Finanzierungsform, Publikumsbeziehung","Form of funding, Audience Relationship",2015,
Aktiv,Neeeu,Berlin,https://neeeu.io/,Start-up,Startup,Produkt,Product,2017,
Aktiv,netzpolitik.org,Berlin,https://www.netzpolitik.org,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2011,
Inaktiv,Netzwerk Medien-Trainer,Nürtingen,,Projekt,Project,Arbeitsweisen,Organizational Structure,2011,2024
Aktiv,Neue Narrative,Berlin,https://neuenarrative.de/,Start-up,Startup,Produkt,Product,2015,
Inaktiv,News-Stream,Sankt Augustin,,Projekt,Project,"Technologie, Arbeitsweisen","Technology, Organizational Structure",2014,2020
Inaktiv,Newscase,Berlin,,Start-up,Startup,Technologie,Technology,2012,2016
Inaktiv,Next Media Accelerator,Hamburg,,Accelerator,Accelerator,"Finanzierungsform, Arbeitsweisen","Form of funding, Organizational Structure",2015,2022
Inaktiv,Noizz,Berlin,,Spin-off,Spin-off,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2015,2020
Aktiv,Nord West Reportagen,Bremen,https://nordwest-reportagen.de/,Projekt,Project,"Produkt, Finanzierungsform","Product, Form of funding",2020,
Inaktiv,Nuzzera,Berlin,,Start-up,Startup,"Finanzierungsform, Publikumsbeziehung","Form of funding, Audience Relationship",2017,2018
Aktiv,Opinary,Berlin,https://opinary.com/,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2014,
Aktiv,Pageflow,Köln,https://pageflow.io,"Start-up, Projekt","Startup, Project","Technologie, Produkt","Technology, Product",2019,
Inaktiv,Pay with a Tweet,"Hamburg, Berlin",,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2010,2017
Inaktiv,Personiq,München,,Start-up,Startup,Technologie,Technology,2015,2017
Aktiv,Perspective Daily,Münster,https://perspective-daily.de/,Start-up,Startup,Produkt,Product,2019,
Aktiv,Picter,Augsburg,https://www.picter.com,Start-up,Startup,"Technologie, Produkt","Technology, Product",2017,
Aktiv,Plantura,München,https://www.plantura.garden/,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2017,
Inaktiv,Plista,Berlin,,Start-up,Startup,Technologie,Technology,2008,2024
Aktiv,Policylead,Berlin,https://www.policylead.eu/,Start-up,Startup,"Produkt, Technologie","Product, Technology",2015,
Aktiv,PressMatrix,Berlin,https://pressmatrix.de,Start-up,Startup,"Produkt, Technologie","Product, Technology",2011,
Inaktiv,Radmesser,Berlin,,Projekt,Project,"Technologie, Produkt","Technology, Product",2018,2020
Inaktiv,ReadersClub,Hamburg,,Projekt,Project,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2019,2020
Aktiv,Relevanzreporter,Nürnberg,http://www.relevanzreporter.de,Start-up,Startup,"Publikumsbeziehung, Arbeitsweisen","Audience Relationship, Organizational Structure",2020,
Aktiv,Reporterfabrik,Essen,https://www.reporterfabrik.org,Projekt,Project,Finanzierungsform,Form of funding,2017,
Aktiv,Retresco,Berlin,https://www.retresco.de,Start-up,Startup,Technologie,Technology,2008,
Aktiv,RiffReporter,Bremen,riffreporter.de,Projekt,Project,Produkt,Product,2016,
Aktiv,RUMS - Neuer Journalismus für Münster,Münster,http://www.rums.ms,Start-up,Startup,"Publikumsbeziehung, Finanzierungsform","Audience Relationship, Form of funding",2020,
Aktiv,Salonkolumnisten,Bremen,https://www.salonkolumnisten.com/,Projekt,Project,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2016,
Aktiv,ShareMagazines,Hamburg,https://sharemagazines.de/,Start-up,Startup,"Finanzierungsform, Technologie","Form of funding, Technology",2014,
Aktiv,Shelfd,Berlin,https://shelfd.com,Start-up,Startup,Finanzierungsform,Form of funding,2016,
Aktiv,ShowHeroes,Hamburg,https://showheroes.com/,Start-up,Startup,Technologie,Technology,2018,
Aktiv,Sinch Engage,München,https://engage.sinch.com/,Start-up,Startup,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2015,
Aktiv,SMARTPAPER ONE,Essen,https://zeitungsdruck-online.de/smartpaper-one,Spin-off,Spin-off,"Finanzierungsform, Technologie","Form of funding, Technology",2019,
Inaktiv,Snaque,Berlin,,Start-up,Startup,"Finanzierungsform, Technologie","Form of funding, Technology",2021,2024
Inaktiv,Social Score,Berlin,,Projekt,Project,"Technologie, Produkt, Publikumsbeziehung","Technology, Product, Audience Relationship",2019,2019
Inaktiv,SoundTicker,München,,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2016,2015
Aktiv,SourceFabric,Berlin,https://www.sourcefabric.org/,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2010,
Inaktiv,Spaactor,Bremen,,Start-up,Startup,Technologie,Technology,2007,2019
Aktiv,Spiegel Techlab,Hamburg,https://www.spiegel-techlab.de/,Innovationseinheit,Innovation Unit,Technologie,Technology,2015,
Aktiv,Spree,Nürnberg,https://jointhespree.com/,Start-up,Startup,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2017,
Inaktiv,Spring Club,Hamburg,,Start-up,Startup,"Publikumsbeziehung, Finanzierungsform, Technologie","Audience Relationship, Form of funding, Technology",2014,2026
Aktiv,Steady,Berlin,https://steadyhq.com,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2017,
Aktiv,Stern Crime,Hamburg,https://stern-crime.de,Spin-off,Spin-off,Produkt,Product,2015,
Aktiv,Storymachine,Berlin,https://www.storymachine.de/,Start-up,Startup,Finanzierungsform,Form of funding,2017,
Inaktiv,Storypepper,Hamburg,,Projekt,Project,Technologie,Technology,2015,2021
Inaktiv,Straight,Berlin,,Start-up,Startup,Produkt,Product,2013,2022
Aktiv,Straßengezwitscher,Dresden,https://strassengezwitscher.de,Projekt,Project,Produkt,Product,2015,
Aktiv,Supertab,München,https://supertab.co/,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2010,
Aktiv,SWR X Lab,Stuttgart,https://www.swr.de/unternehmen/xlab/index.html,Innovationseinheit,Innovation Unit,Technologie,Technology,2020,
Aktiv,Table Media,Berlin,https://table.media,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2019,
Aktiv,tactile.news,Lüneburg,https://tactile.news,Start-up,Startup,"Technologie, Produkt","Technology, Product",2018,
Aktiv,Tagesspiegel Background,Berlin,https://background.tagesspiegel.de/,Projekt,Project,"Produkt, Finanzierungsform","Product, Form of funding",2019,
Aktiv,Tagesspiegel Innovation Lab,Berlin,https://interaktiv.tagesspiegel.de/,Innovationseinheit,Innovation Unit,"Technologie, Produkt","Technology, Product",2019,
Inaktiv,Tagesspiegel Leute,Berlin,,Projekt,Project,"Produkt, Finanzierungsform","Product, Form of funding",2016,2020
Inaktiv,Tame,Berlin,,Start-up,Startup,Technologie,Technology,2012,2017
Inaktiv,Textunes,Berlin,,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2009,2011
Aktiv,The Buzzard,Berlin,https://www.buzzard.org,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2016,
Inaktiv,The Master Graph,München,,Projekt,Project,Technologie,Technology,2018,2020
Inaktiv,The Shotcaller,Berlin,,Start-up,Startup,Produkt,Product,2018,2020
Aktiv,Tincon,Berlin,https://tincon.org/,Start-up,Startup,Produkt,Product,2015,
Aktiv,Traffective,München,https://traffective.com,Start-up,Startup,Technologie,Technology,2009,
Inaktiv,Trend Recognition Module for the Listening Center,Düsseldorf,,Projekt,Project,Technologie,Technology,2016,2020
Aktiv,Truly Media,Bonn,https://truly.media,Projekt,Project,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2017,
Aktiv,Übermedien,Berlin,https://uebermedien.de,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2016,
Aktiv,Ubermetrics,Berlin,https://www.ubermetrics-technologies.com/,Start-up,Startup,Technologie,Technology,2011,
Inaktiv,Umatter.news,Hamburg,,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2017,2017
Aktiv,Upday,Berlin,https://upday.com,Spin-off,Spin-off,Technologie,Technology,2015,
Aktiv,Upspeak,Landau a.d. Isar,https://www.upspeak.de/de,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2016,
Aktiv,Upstream,Halle (Saale),https://upstream-newsletter.de/,Projekt,Project,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2021,
Inaktiv,Varia,München,,Start-up,Startup,Technologie,Technology,2017,2025
Aktiv,Versicherungsmonitor,Köln,https://versicherungsmonitor.de/,Start-up,Startup,"Produkt, Finanzierungsform","Product, Form of funding",2013,
Aktiv,VICE Deutschland,Berlin,https://www.vice.com/de,Start-up,Startup,Produkt,Product,2017,
Inaktiv,Videovalis,Köln,,Projekt,Project,"Technologie, Finanzierungsform","Technology, Form of funding",2009,2011
Inaktiv,Vivoico,München,,Projekt,Project,"Produkt, Finanzierungsform","Product, Form of funding",2018,2018
Aktiv,Vocer,Hamburg,https://www.vocer.org,Projekt,Project,Finanzierungsform,Form of funding,2012,
Aktiv,Vragments,Berlin,https://vragments.com,Start-up,Startup,"Produkt, Technologie","Product, Technology",2015,
Inaktiv,Wafana,München,,Start-up,Startup,Finanzierungsform,Form of funding,2017,2019
Aktiv,Webmag,München,https://webmag.io/,Start-up,Startup,Technologie,Technology,2019,
Inaktiv,Webtrekk,Berlin,,Start-up,Startup,Technologie,Technology,2004,2020
Inaktiv,What's hot,Düsseldorf,,Projekt,Project,Technologie,Technology,2018,2022
Aktiv,Wokreisel,Groß Köris,https://www.wokreisel.de/,Projekt,Project,Publikumsbeziehung,Audience Relationship,2021,
Aktiv,Y-Kollektiv,Bremen,https://www.ardmediathek.de/y-kollektiv,Projekt,Project,"Produkt, Arbeitsweisen","Product, Organizational Structure",2016,
Aktiv,Yeebase,Hannover,https://yeebase.com,Start-up,Startup,Produkt,Product,2005,
Aktiv,Zaubar,Berlin,https://zaubar.com,Start-up,Startup,"Technologie, Produkt","Technology, Product",2018,
Aktiv,Ze.tt,Hamburg,https://ze.tt/,Spin-off,Spin-off,Produkt,Product,2015,
